   pnb   telefonos   idh   arm   antic   mort   nat   fec
Malasia   4370.00   165.6   0.834   4.2   48   5   26   3.4
Malawi   180.00   3.5   0.334   1.2   22   22   49   6.8
Mali   240.00   1.7   0.236   1.8   7   18   48   6.8
Malta   NA   458.9   0.899   1.1   NA   NA   NA   NA
Marruecos   1290.00   43.3   0.557   4.3   50   7   26   3.3
Mauricio   3710.00   131.1   0.833   2.3   75   7   20   2.3
Mauritania   470.00   4.1   0.361   2.9   4   13   39   5.1
Mexico   3670.00   95.8   0.855   0.8   53   5   25   2.9
Moldova   590.00   130.7   0.610   4.2   NA   11   14   1.9
Mongolia   360.00   33.2   0.669   1.7   NA   7   28   3.4
Mozambique   80.00   3.4   0.281   3.7   4   18   43   6.2
Myanmar   NA   3.5   0.481   7.6   17   10   28   3.4
Namibia   2250.00   50.6   0.644   3   29   12   36   5
Nepal   210.00   3.8   0.351   0.9   29   12   37   5.1
Nicaragua   380.00   23.4   0.547   1.5   49   6   34   4
Niger   200.00   1.5   0.207   0.9   4   18   51   7.2
Nigeria   240.00   3.6   0.391   3.5   6   14   43   6.1
Noruega   34510.00   556.4   0.943   2.4   76   11   14   1.9
Oman   NA   78.7   0.771   15.6   9   4   44   7.2
Pakistan   480.00   16.4   0.453   5.7   12   8   37   5.2
Panama   3080.00   114.2   0.868   1.4   58   5   23   2.7
"Papua Nueva Guinea"   1150.00   10.1   0.507   1.5   4   10   33   4.8
Paraguay   1850.00   33.8   0.707   1.3   50   6   32   4.3
Peru   2420.00   47.1   0.729   1.9   64   7   26   3.1
Polonia   3230.00   148.4   0.851   2.8   75   11   12   1.7
Portugal   10160.00   361.5   0.892   2.8   66   11   11   1.5
Qatar   NA   222.7   0.840   10.2   32   4   19   3.9
"Reino Unido"   19600.00   502.5   0.932   3   82   11   12   1.7
"Rep. Centroafricana"   310.00   2.3   0.347   2.4   15   17   38   5.1
"Rep. Checa"   4740.00   236.5   0.884   2.4   69   12   11   1.5
"Rep. Dominicana"   1600.00   72.8   0.720   1.1   64   5   25   2.9
Rumania   1600.00   130.8   0.767   2.3   57   11   11   1.4
Rusia   2410.00   169.9   0.769   6.5   NA   14   10   1.4
Rwanda   190.00   NA   NA   NA   21   27   43   6.2
Salomon   NA   17.3   0.560   NA   25   4   37   5.1
Senegal   570.00   9.8   0.342   1.7   13   15   42   5.8
Seychelles   NA   178.0   0.845   3.1   NA   7   22   NA
"Sierra Leona"   200.00   3.7   0.185   5.9   4   27   47   6.2
Singapur   30550.00   478.5   0.896   5.5   74   5   16   1.8
Siria   1160.00   63.4   0.749   4.8   36   5   31   4.2
"Sri Lanka"   740.00   11.1   0.716   6.5   66   6   18   2.1
Sudafrica   3520.00   94.5   0.717   1.8   50   8   30   3.9
Sudan   NA   2.7   0.343   4.3   8   12   34   4.7
Suecia   25710.00   681.1   0.936   2.9   78   11   12   1.9
Suiza   44350.00   613.4   0.930   1.6   71   9   11   1.5
Tailandia   2960.00   58.6   0.838   NA   74   6   17   1.8
Tanzania   170.00   3.0   0.358   2.5   16   14   42   5.6
Tayikistan   340.00   45.2   0.575   11   NA   7   31   4
Togo   300.00   5.2   0.380   2.5   12   15   43   6.2
"Trinidad y Tabago"   3870.00   160.4   0.880   1.1   53   6   17   2.2
Tunez   1930.00   58.2   0.744   2   60   6   24   3
Turkmenistan   940.00   70.9   0.660   2.8   NA   8   30   3.7
Turquia   2830.00   211.6   0.782   3.9   63   7   22   2.6
Ucrania   1200.00   161.2   0.665   3   NA   14   10   1.5
Uganda   300.00   2.3   0.340   2.4   15   21   51   7.1
Uruguay   5760.00   195.6   0.885   2.3   84   10   17   2.3
Uzbekistan   1010.00   75.8   0.659   3.8   56   7   29   3.6
Vanuatu   NA   24.9   0.559   NA   15   6   34   4.5
Venezuela   3020.00   110.9   0.860   1.2   49   5   26   3.1
Vietnam   290.00   10.5   0.560   4   65   7   26   3.1
Yemen   380.00   12.4   0.356   3.7   7   11   48   7.6
Zambia   360.00   8.2   0.378   1.8   15   18   43   5.6
Zimbabwe   610.00   14.0   0.507   3.9   48   14   38   4.8
