"A.U.D.I." "ACURA" "ALFA ROMEO" "ASTON MARTIN" "AUSTIN" "B.M.W." "BENTLEY" "BUICK" "CADILLAC" "CITROEN" "CHEVROLET" "CHRYSLER" "DAEWOO" "DAIHATSU" "DAIMLER" "DAIMLERCHRYSLER" "DIAMOND" "DODGE" "FERRARI" "FIAT" "FORD" "G.M.C." "HISPANO SUIZA" "HONDA" "HUMMER" "HYUNDAI" "ISUZU" "IVECO" "JAGUAR" "JEEP" "KIA" "LADA" "LADA-VAZ" "LAMBORGHINI" "LANCIA" "LAND ROVER" "LEXUS" "LINCOLN" "LONDON TAXIS INTERNAT." "LOTUS" "M.G." "MASERATI" "MATRA" "MAZDA" "MERCEDES-BENZ" "MERCURY" "MICRO COMPACT CAR" "MINI" "MITSUBISHI" "MORGAN" "NISSAN" "OLDSMOBILE" "OPEL" "PACKARD" "PEUGEOT" "PLYMOUTH" "PONTIAC" "PORSCHE" "QUATTRO" "RENAULT" "ROLLS-ROYCE" "ROVER" "SAAB" "SANTANA" "SATURN" "SEAT" "SIMCA" "SKODA" "SSANGYONG" "SUBARU" "SUZUKI" "TATA" "TOYOTA" "TRIUMPH" "VAUXHALL" "VOLKSWAGEN" "VOLVO" "SIN MARCA" "OTRAS MARCAS"
"A Corunya" 1593 0 329 0 3 1129 0 1 7 3806 2 37 726 1 6 7 0 1 1 607 3357 0 0 418 2 607 1 0 78 18 396 0 2 0 66 23 25 0 0 0 83 1 0 263 1151 0 39 32 153 1 557 0 2491 0 3820 0 1 58 0 4000 3 296 134 0 0 3772 0 384 12 9 253 7 1201 0 0 2391 233 1 4
"Cuenca" 221 0 26 0 0 130 0 0 0 473 1 4 103 0 0 0 0 0 0 71 370 0 0 14 0 120 0 0 10 2 114 0 0 0 1 10 2 0 0 0 7 0 0 22 152 0 2 0 38 0 110 0 491 0 400 0 0 0 0 400 0 14 33 0 0 456 0 15 3 1 123 0 178 0 0 290 50 0 0
"Girona" 1059 0 297 2 1 1030 3 1 4 2476 1 39 681 4 24 68 0 0 5 876 1739 0 0 301 0 661 1 0 62 3 323 1 0 0 59 110 17 1 1 0 64 2 2 381 834 0 76 45 158 1 1022 0 2301 1 2637 0 0 37 0 2536 1 90 137 0 0 1712 0 126 1 54 98 15 753 0 0 1942 219 5 3
"Granada" 1233 0 227 0 1 1311 0 0 1 2598 5 63 521 5 1 4 0 0 4 764 1968 0 0 278 0 655 1 0 69 10 385 0 1 0 50 61 21 0 0 0 65 4 0 263 1465 0 85 8 138 0 537 0 1753 1 2574 0 1 15 0 2990 2 188 67 0 0 2807 0 244 5 8 66 34 694 1 1 2378 265 1 2
"Guadalajara" 259 0 55 0 0 322 1 0 0 812 0 18 62 0 1 0 0 1 0 307 801 0 0 59 0 252 0 0 16 3 114 0 0 1 48 17 17 0 0 0 17 1 0 44 299 0 4 10 55 0 118 0 582 0 660 0 1 0 0 371 1 41 17 0 0 734 0 140 3 5 22 0 223 0 0 530 83 0 0
"Guipuzcoa" 760 0 76 0 0 431 0 0 5 1808 0 33 280 1 1 1 0 1 0 201 2163 0 0 241 0 481 0 0 15 1 238 0 0 0 3 62 5 0 0 1 51 1 0 184 384 0 22 21 57 0 291 0 2229 0 2646 0 0 7 2 2375 0 109 80 0 0 1494 0 162 0 34 23 1 337 0 0 1837 214 0 0
"Huelva" 428 0 108 0 0 511 2 0 1 1513 1 38 415 1 2 8 0 0 1 293 1373 0 0 202 0 488 0 0 21 10 271 0 0 0 14 52 8 0 0 0 35 0 0 135 448 0 6 8 321 0 403 0 1026 0 1122 0 0 4 0 1673 0 104 8 0 0 1246 0 366 3 1 280 4 549 0 0 933 128 0 0
"Huesca" 292 0 53 0 0 190 0 0 0 660 0 20 62 1 0 0 0 0 0 157 382 0 0 72 0 161 0 1 5 1 55 0 0 0 20 11 0 0 0 0 15 0 0 107 220 0 5 4 34 0 210 0 275 0 863 0 0 2 0 796 0 38 15 0 0 669 0 72 0 10 34 0 177 0 0 458 78 0 0
"Jaen" 500 0 122 0 0 470 0 0 1 1587 0 27 248 7 0 6 0 0 0 264 1290 1 1 125 0 333 0 0 20 3 154 0 0 0 30 41 3 0 0 1 39 0 0 134 446 0 2 15 49 0 334 0 937 0 1404 0 0 3 0 1637 0 119 4 0 0 1384 0 186 2 4 27 8 308 3 0 919 155 0 1
"Leon" 879 0 105 1 0 888 1 0 0 1405 1 23 357 1 2 4 0 1 2 302 988 0 0 151 0 324 0 1 30 2 129 3 3 2 5 26 4 0 0 0 43 1 0 105 623 0 10 7 52 1 252 0 785 0 1319 0 2 9 0 1407 0 90 81 0 0 1187 0 145 1 3 51 2 355 1 0 986 117 0 0
"Lleida" 565 0 57 0 0 417 0 0 0 929 3 14 181 1 3 11 0 0 0 152 552 0 0 155 0 305 4 0 51 29 188 9 3 0 8 56 21 0 1 0 37 0 0 104 406 0 9 21 151 0 331 0 898 2 1058 0 0 13 0 1330 0 68 43 0 0 1073 0 129 12 35 129 0 512 0 0 1035 95 0 4
"La Rioja" 337 0 65 0 1 348 0 0 1 745 0 10 133 0 0 0 0 0 1 196 632 0 0 97 0 130 0 0 43 0 133 0 0 0 15 31 19 0 0 0 21 0 0 103 361 0 7 3 26 0 210 0 744 0 608 1 0 5 0 813 0 69 38 0 0 634 0 58 0 12 21 0 360 0 0 512 111 0 0
"Lugo" 420 0 108 0 1 312 0 0 0 799 2 12 94 0 1 8 0 0 0 299 771 1 0 136 0 162 0 0 14 1 46 0 0 0 32 16 6 0 0 0 18 0 0 80 416 0 6 10 19 0 146 0 699 0 1013 0 0 6 1 899 0 77 26 1 0 1057 0 102 0 0 44 0 254 0 0 607 57 1 0
"Madrid" 15006 0 4573 14 1 18276 53 0 47 36044 59 1040 3352 5 14 129 1 12 63 9957 31552 2 1 2611 14 8246 1 0 1352 111 4461 12 4 13 1343 596 555 3 1 1 501 30 0 2697 16505 1 2946 469 806 7 5050 2 39462 0 35531 5 7 670 6 53949 14 1264 1003 0 0 23763 0 4201 31 475 485 55 11767 4 4 19360 4821 2 2
"Malaga" 1947 0 482 6 5 2228 25 0 8 4861 17 135 933 36 5 13 0 4 16 3174 8797 3 0 568 1 2229 4 0 267 23 781 3 0 1 235 230 55 2 1 2 94 7 0 466 2472 1 173 48 260 5 1243 1 5159 0 7690 2 9 103 0 5367 6 339 159 0 0 7086 0 730 6 50 226 13 1450 3 10 5094 442 12 3
"Murcia" 2332 0 287 0 4 1980 3 0 6 4561 5 107 788 1 2 5 0 1 5 872 3109 0 0 399 0 1091 1 1 177 6 602 2 1 2 66 64 37 0 0 1 91 3 1 372 3361 0 87 33 220 0 1054 0 2724 0 4831 0 3 35 0 4870 10 297 122 0 0 4502 0 452 2 6 227 19 1231 1 6 4424 291 6 1
"Navarra" 622 0 137 0 0 592 0 0 0 1815 0 31 258 0 0 0 0 1 0 326 1152 0 0 230 0 330 0 0 42 2 177 1 0 0 35 34 9 0 0 0 31 0 0 163 408 0 23 9 68 0 541 0 2261 0 1742 0 0 13 0 1801 1 70 91 0 0 1347 1 150 0 16 61 0 536 0 0 1700 205 0 0
"Ourense" 537 0 100 0 0 424 0 0 2 891 1 16 125 2 0 2 0 0 4 217 783 0 0 34 0 188 0 1 37 3 33 0 0 0 1 15 1 0 0 0 16 0 0 36 498 0 2 7 20 1 84 0 648 0 880 0 0 13 0 970 5 54 33 0 0 967 0 86 0 4 19 3 249 0 0 678 68 0 1
"Asturias" 1246 0 255 0 0 1318 2 0 0 3232 1 46 696 0 0 14 0 2 10 624 2603 0 0 319 0 595 0 1 76 35 343 1 1 1 34 38 7 0 1 0 49 3 0 307 1187 0 54 18 91 0 693 0 1678 0 3636 0 0 41 0 3567 0 133 68 0 0 2804 1 304 1 28 84 4 655 0 0 2101 278 1 0
"Palencia" 214 0 15 0 0 177 0 0 0 343 0 5 70 0 0 1 0 0 0 48 273 0 0 66 0 64 0 0 8 1 61 0 0 0 1 12 1 0 0 0 13 0 0 47 115 0 2 5 11 0 57 0 338 0 374 0 0 2 0 1014 0 28 7 0 0 356 0 21 0 4 3 3 161 0 0 310 15 0 1
"Las Palmas" 623 0 110 0 1 965 2 1 6 1956 8 29 663 19 1 2 0 0 2 913 1631 1 0 277 0 890 1 0 81 25 83 0 0 0 150 87 6 0 0 2 91 0 1 206 1244 0 143 12 163 1 1299 0 4456 0 2375 0 3 28 0 4498 1 53 89 0 0 3162 0 735 0 8 31 0 4055 4 0 4040 134 3 3
"Pontevedra" 1104 0 251 1 4 793 1 1 1 3535 2 45 464 2 9 25 0 0 0 538 2621 0 0 306 0 499 0 0 62 2 251 0 0 0 49 32 17 0 1 0 69 0 0 297 986 0 60 26 64 0 476 0 1880 0 3269 1 1 39 1 3724 1 191 71 0 0 2487 0 338 0 13 32 0 768 1 0 1780 187 0 4
"Salamanca" 370 0 70 0 0 340 2 0 0 929 0 11 225 1 0 0 0 0 1 202 548 0 0 118 0 225 0 0 49 3 93 0 1 0 22 12 0 0 0 0 25 0 0 22 303 0 3 10 45 0 199 0 651 0 833 0 0 1 0 982 0 58 4 0 0 849 0 16 0 6 3 1 250 0 0 525 95 0 0
